symbol,description,weight
NVDA,NVIDIA CORP,0.1815
MSFT,MICROSOFT CORP,0.1469
AAPL,APPLE INC,0.1394
AVGO,BROADCOM INC,0.0483
ORCL,ORACLE CORP,0.0216
PLTR,n/a,0.0209
AMD,ADVANCED MICRO DEVICES INC,0.0161
CSCO,CISCO SYSTEMS INC,0.0151
IBM,INTERNATIONAL BUSINESS MACHINES CORP,0.012
CRM,SALESFORCE INC,0.012
INTU,INTUIT INC,0.0108
NOW,SERVICENOW INC,0.0096
TXN,TEXAS INSTRUMENTS INC,0.0096
QCOM,QUALCOMM INC,0.0095
AMAT,APPLIED MATERIALS INC,0.0087
ANET,ARISTA NETWORKS INC,0.0084
ADBE,ADOBE INC,0.0083
ACN,ACCENTURE PLC CLASS A,0.0083
LRCX,LAM RESEARCH CORP,0.0079
MU,MICRON TECHNOLOGY INC,0.0077
PTC,PTC INC,0.0019
TRMB,TRIMBLE INC,0.0018
TYL,TYLER TECHNOLOGIES INC,0.0018
FLEX,FLEX LTD,0.0018
TEAM,ATLASSIAN CORP CLASS A,0.0018
NTAP,NETAPP INC,0.0017
FFIV,F5 INC,0.0017
U,UNITY SOFTWARE INC ORDINARY SHARES,0.0017
SMCI,SUPER MICRO COMPUTER INC,0.0017
COHR,COHERENT CORP,0.0016
CDW,CDW CORP,0.0016
TER,TERADYNE INC,0.0016
ON,ON SEMICONDUCTOR CORP,0.0016
FSLR,FIRST SOLAR INC,0.0016
GEN,GEN DIGITAL INC,0.0016
HUBS,HUBSPOT INC,0.0015
ZBRA,n/a,0.0015
NTNX,NUTANIX INC CLASS A,0.0015
PSTG,PURE STORAGE INC CLASS A,0.0015
GDDY,GODADDY INC CLASS A,0.0015
GWRE,GUIDEWIRE SOFTWARE INC,0.0015
ZM,ZOOM COMMUNICATIONS INC,0.0014
MDB,MONGODB INC CLASS A,0.0014
CIEN,CIENA CORP,0.0014
DOCU,DOCUSIGN INC,0.0013
IT,GARTNER INC,0.0013
FN,FABRINET,0.0013
SNX,TD SYNNEX CORP,0.0013
LITE,LUMENTUM HOLDINGS INC,0.0013
TWLO,TWILIO INC CLASS A,0.0013
MANH,MANHATTAN ASSOCIATES INC,0.0013
IDCC,INTERDIGITAL INC,0.0012
OKTA,OKTA INC CLASS A,0.0012
IONQ,IONQ INC CLASS A,0.0012
DT,DYNATRACE INC ORDINARY SHARES,0.0012
RMBS,RAMBUS INC,0.0012
SANM,SANMINA CORP,0.0012
SOUN,n/a,0.0012
CGNX,COGNEX CORP,0.0011
ENTG,ENTEGRIS INC,0.0011
CVLT,COMMVAULT SYSTEMS INC,0.0011
SWKS,SKYWORKS SOLUTIONS INC,0.0011
LSCC,LATTICE SEMICONDUCTOR CORP,0.0011
LIF,LIFE360 INC COMMON STOCK,0.0011
AKAM,AKAMAI TECHNOLOGIES INC,0.0011
AEIS,ADVANCED ENERGY INDUSTRIES INC,0.0011
BSY,n/a,0.001
MTSI,MACOM TECHNOLOGY SOLUTIONS HOLDINGS INC,0.001
ITRI,ITRON INC,0.001
QBTS,D-WAVE QUANTUM INC,0.001
AUR,AURORA INNOVATION INC CLASS A,0.001
VNT,VONTIER CORP ORDINARY SHARES,0.001
RGTI,RIGETTI COMPUTING INC,0.001
QRVO,QORVO INC,0.001
RBRK,RUBRIK INC CLASS A SHARES,0.001
IOT,SAMSARA INC ORDINARY SHARES CLASS A,0.0009
VRNS,VARONIS SYSTEMS INC,0.0009
TTMI,TTM TECHNOLOGIES INC,0.0009
SMTC,SEMTECH CORP,0.0009
KD,KYNDRYL HOLDINGS INC ORDINARY SHARES,0.0009
LFUS,LITTELFUSE INC,0.0009
MIR,n/a,0.0009
MKSI,MKS INC,0.0009
ARW,ARROW ELECTRONICS INC,0.0009
BDC,BELDEN INC,0.0009
ONTO,ONTO INNOVATION INC,0.0009
PCOR,PROCORE TECHNOLOGIES INC,0.0009
PI,IMPINJ INC,0.0009
DBX,DROPBOX INC CLASS A,0.0009
APPF,APPFOLIO INC CLASS A,0.0009
EPAM,EPAM SYSTEMS INC,0.0009
PEGA,PEGASYSTEMS INC,0.0009
SNDK,SANDISK CORP ORDINARY SHARES,0.0009
RAL,RALLIANT CORP,0.0008
S,SENTINELONE INC CLASS A,0.0008
SLAB,SILICON LABORATORIES INC,0.0008
SITM,SITIME CORP ORDINARY SHARES,0.0008
RIOT,RIOT PLATFORMS INC,0.0008
OSIS,OSI SYSTEMS INC,0.0008
FROG,JFROG LTD ORDINARY SHARES,0.0008
MARA,MARA HOLDINGS INC,0.0008
BOX,BOX INC CLASS A,0.0008
BMI,BADGER METER INC,0.0008
AVT,AVNET INC,0.0008
CCCS,CCC INTELLIGENT SOLUTIONS HOLDINGS INC,0.0008
DLB,DOLBY LABORATORIES INC CLASS A,0.0008
CRUS,CIRRUS LOGIC INC,0.0008
ESTC,ELASTIC NV,0.0008
GTLB,GITLAB INC CLASS A,0.0008
CORZ,n/a,0.0008
ACIW,ACI WORLDWIDE INC,0.0008
ALGM,ALLEGRO MICROSYSTEMS INC ORDINARY SHARES,0.0008
OLED,UNIVERSAL DISPLAY CORP,0.0008
QLYS,QUALYS INC,0.0008
ENPH,ENPHASE ENERGY INC,0.0007
CALX,CALIX INC,0.0007
BILL,BILL HOLDINGS INC ORDINARY SHARES,0.0007
QTWO,Q2 HOLDINGS INC,0.0007
TENB,TENABLE HOLDINGS INC,0.0007
ZETA,ZETA GLOBAL HOLDINGS CORP CLASS A,0.0007
WK,WORKIVA INC CLASS A,0.0007
PATH,UIPATH INC CLASS A,0.0007
SPSC,SPS COMMERCE INC,0.0007
NOVT,NOVANTA INC,0.0007
PLXS,PLEXUS CORP,0.0007
NSIT,INSIGHT ENTERPRISES INC,0.0007
CWAN,n/a,0.0007
KVYO,KLAVIYO INC CLASS A COMMON STOCK,0.0006
SYNA,SYNAPTICS INC,0.0006
VSAT,VIASAT INC,0.0006
NCNO,NCINO INC ORDINARY SHARES,0.0006
AMBA,AMBARELLA INC,0.0006
AGYS,AGILYSYS INC,0.0006
CFLT,CONFLUENT INC CLASS A,0.0006
YOU,CLEAR SECURE INC ORDINARY SHARES CLASS A,0.0006
COMM,COMMSCOPE HOLDING CO INC,0.0006
BL,BLACKLINE INC,0.0006
AMKR,AMKOR TECHNOLOGY INC,0.0006
ACLS,AXCELIS TECHNOLOGIES INC,0.0006
CLSK,CLEANSPARK INC,0.0006
CXT,CRANE NXT CO,0.0006
POWI,POWER INTEGRATIONS INC,0.0006
INFA,INFORMATICA INC,0.0006
INTA,INTAPP INC,0.0005
EXTR,EXTREME NETWORKS INC,0.0005
DXC,n/a,0.0005
VIAV,VIAVI SOLUTIONS INC,0.0005
FORM,FORMFACTOR INC,0.0005
FRSH,FRESHWORKS INC ORDINARY SHARES CLASS A,0.0005
BLKB,BLACKBAUD INC,0.0005
AI,C3.AI INC ORDINARY SHARES CLASS A,0.0005
ASGN,ASGN INC,0.0005
APLD,APPLIED DIGITAL CORP,0.0005
ALRM,ALARM.COM HOLDINGS INC,0.0005
DIOD,DIODES INC,0.0005
PAR,PAR TECHNOLOGY CORP,0.0004
PRGS,PROGRESS SOFTWARE CORP,0.0004
BRZE,BRAZE INC CLASS A,0.0004
HUT,HUT 8 CORP,0.0004
DOCN,DIGITALOCEAN HOLDINGS INC,0.0004
PLUS,EPLUS INC,0.0004
FIVN,FIVE9 INC,0.0004
ARLO,ARLO TECHNOLOGIES INC,0.0004
TDC,TERADATA CORP,0.0004
VSH,VISHAY INTERTECHNOLOGY INC,0.0004
RNG,RINGCENTRAL INC CLASS A,0.0004
QUBT,QUANTUM COMPUTING INC,0.0004
VERX,VERTEX INC CLASS A,0.0004
KN,KNOWLES CORP,0.0004
IPGP,IPG PHOTONICS CORP,0.0004
KLIC,KULICKE & SOFFA INDUSTRIES INC,0.0004
BELFB,BEL FUSE INC CLASS B,0.0003
BBAI,BIGBEAR.AI HOLDINGS INC,0.0003
DGII,DIGI INTERNATIONAL INC,0.0003
BHE,BENCHMARK ELECTRONICS INC,0.0003
ADEA,ADEIA INC,0.0003
ACMR,ACM RESEARCH INC CLASS A,0.0003
ATEN,A10 NETWORKS INC,0.0003
ALKT,ALKAMI TECHNOLOGY INC,0.0003
VECO,VEECO INSTRUMENTS INC,0.0003
VRNT,VERINT SYSTEMS INC,0.0003
SEDG,SOLAREDGE TECHNOLOGIES INC,0.0003
WULF,TERAWULF INC,0.0003
NTCT,NETSCOUT SYSTEMS INC,0.0003
OS,ONESTREAM INC CLASS A COMMON STOCK,0.0003
ROG,ROGERS CORP,0.0003
PGY,PAGAYA TECHNOLOGIES LTD CLASS A,0.0003
AVPT,AVEPOINT INC ORDINARY SHARES CLASS A,0.0003
CIFR,CIPHER MINING INC,0.0003
PD,PAGERDUTY INC,0.0003
MXL,MAXLINEAR INC,0.0003
PLAB,PHOTRONICS INC,0.0003
VYX,NCR VOYIX CORP,0.0003
RAMP,LIVERAMP HOLDINGS INC,0.0003
RPD,RAPID7 INC,0.0002
COHU,COHU INC,0.0002
ASAN,ASANA INC ORDINARY SHARES CLASS A,0.0002
AMPL,AMPLITUDE INC CLASS A,0.0002
AAOI,APPLIED OPTOELECTRONICS INC,0.0002
APPN,APPIAN CORP A,0.0002
FSLY,FASTLY INC CLASS A,0.0002
EVLV,EVOLV TECHNOLOGIES HOLDINGS INC ORDINARY SHARES CLASS A,0.0002
HLIT,HARMONIC INC,0.0002
OLO,OLO INC ORDINARY SHARES CLASS A,0.0002
NN,NEXTNAV INC,0.0002
CNXN,PC CONNECTION INC,0.0002
PENG,PENGUIN SOLUTIONS INC,0.0002
DBD,DIEBOLD NIXDORF INC ORDINARY SHARES- NEW,0.0002
CMPO,COMPOSECURE INC ORDINARY SHARES,0.0002
BASE,COUCHBASE INC,0.0002
CTS,CTS CORP,0.0002
UCTT,ULTRA CLEAN HOLDINGS INC,0.0002
CXM,SPRINKLR INC CLASS A,0.0002
YEXT,YEXT INC,0.0002
SCSC,SCANSOURCE INC,0.0002
NSSC,NAPCO SECURITY TECHNOLOGIES INC,0.0002
IIIV,I3 VERTICALS INC,0.0001
GDYN,GRID DYNAMICS HOLDINGS INC ORDINARY SHARES CLASS A,0.0001
ICHR,ICHOR HOLDINGS LTD,0.0001
CEVA,CEVA INC,0.0001
ADTN,ADTRAN HOLDINGS INC,0.0001
AOSL,ALPHA & OMEGA SEMICONDUCTOR LTD,0.0001
BLND,BLEND LABS INC ORDINARY SHARES CLASS A,0.0001
n/a,E-MINI RUSS 2000 SEP25 XCME 20250919,0.0001
DAKT,DAKTRONICS INC,0.0001
CRSR,CORSAIR GAMING INC ORDINARY SHARES,0.0001
DJCO,DAILY JOURNAL CORP,0.0001
PRO,PROS HOLDINGS INC,0.0001
AIOT,POWERFLEET INC,0.0001
PDFS,PDF SOLUTIONS INC,0.0001
OSPN,ONESPAN INC,0.0001
NTGR,NETGEAR INC,0.0001
JAMF,JAMF HOLDING CORP ORDINARY SHARES,0.0001
MLNK,MERIDIANLINK INC,0.0001
NABL,N-ABLE INC,0.0001
HCKT,THE HACKETT GROUP INC,0.0001
SPT,SPROUT SOCIAL INC CLASS A,0.0001
RBBN,RIBBON COMMUNICATIONS INC,0.0001
SEMR,SEMRUSH HOLDINGS INC ORDINARY SHARES CLASS A,0.0001
XRX,XEROX HOLDINGS CORP,0.0001
n/a,US DOLLAR,0.0001
WEAV,WEAVE COMMUNICATIONS INC,0.0001
n/a,ESC PIVOTAL SOFTWARE I COMMON STOCK,0.0
